id	dT-4_S4_L001	dT-4_S4_L002	dT-4_S4_L003	dT-4_S4_L004	dT-5_S5_L001	dT-5_S5_L002	dT-5_S5_L003	dT-5_S5_L004	dT-6_S6_L001	dT-6_S6_L002	dT-6_S6_L003	dT-6_S6_L004	rRNA-7_S7_L001	rRNA-7_S7_L002	rRNA-7_S7_L003	rRNA-7_S7_L004	rRNA-8_S8_L001	rRNA-8_S8_L002	rRNA-8_S8_L003	rRNA-8_S8_L004	rRNA-9_S9_L001	rRNA-9_S9_L002	rRNA-9_S9_L003	rRNA-9_S9_L004	Total-1_S1_L001	Total-1_S1_L002	Total-1_S1_L003	Total-1_S1_L004	Total-2_S2_L001	Total-2_S2_L002	Total-2_S2_L003	Total-2_S2_L004	Total-3_S3_L001	Total-3_S3_L002	Total-3_S3_L003	Total-3_S3_L004
RadishC_t015	0	1.65115	2.38448	2.34219	2.34219	2.03327	2.49189	2.34219	2.05651	2.78171	2.84694	2.34219	2.49189	2.57492	2.63763	2.84694	2.57492	2.63763	3.02846	2.63763	1.87062	2.57492	2.84694	2.78171	3.59483	3.32763	3.59483	3.77483	0	3.59483	3.66751	3.51657	3.32763	3.77483	3.12144	3.51657
C327_r02	3.51657	3.43739	3.51657	3.51657	3.66751	3.66751	3.43739	3.91554	3.32763	3.43739	3.66751	3.21874	2.44112	3.43739	2.78171	3.12144	2.49189	2.93383	2.57492	3.21874	3.32763	3.02846	3.02846	3.02846	2.38448	2.44112	2.44112	2.70661	0	2.84694	2.34219	2.49189	2.08309	2.34219	2.78171	0.462098
RadishC_r006	1.44633	0	0	2.17067	0	0	0	0	0	0	0	0	0	0	0	0	0.173287	0	0	0.93294	0	0	0	0	2.1962	0	1.92182	3.51657	0	0	2.93383	0	3.12144	1.81704	2.1962	5.57973
RadishC_t006	2.57492	1.83653	1.71983	1.26869	0.616131	2.23462	2.38448	2.28001	1.02122	2.38448	1.62177	2.23462	0.500606	1.69495	2.38448	1.68447	2.28001	2.17067	1.89927	1.78372	1.98984	2.1962	2.10978	1.83653	2.70661	2.84694	2.28001	3.02846	0	3.12144	2.13983	2.57492	2.49189	2.93383	2.34219	1.87062
RadishC_t003	0.673893	0	0	0	1.76141	2.10978	0	2.1962	1.63596	1.00197	1.4638	0.51986	1.92182	1.30327	1.78372	2.00866	0.154033	1.23852	1.05646	2.00866	1.71476	0.231049	1.74529	1.54789	2.84694	2.93383	2.93383	2.57492	0	2.70661	2.63763	2.78171	2.78171	3.02846	2.57492	3.12144
RadishC_r005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.730208	0	0	0.809048	1.30947	0	2.84694	0	0	2.78171	3.91554	0.462098	0	3.91554	1.28908
RadishC_r004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.13983	1.66128	0	0	0	0.842837	4.14495	0	0.887889	0	3.59483	2.28001
RadishC_t017	1.22254	1.14439	1.62177	1.93636	0	1.74529	1.02921	0	2.10978	0.952194	1.56601	0.51986	2.34219	2.10978	1.28908	1.46886	0.134779	1.30327	2.10978	2.08309	1.796	2.34219	2.49189	1.48484	1.3863	2.28001	1.30327	1.67141	0	1.50432	1.32807	1.83653	1.33426	1.3863	2.49189	2.63763
RadishC_t005	1.61242	1.66128	1.61242	0.673893	2.49189	1.30327	2.28001	1.21634	2.00866	0	1.08663	1.32807	0.500606	1.98984	1.87062	1.63596	1.2607	1.38011	0.797785	1.69495	1.93928	2.00866	0.696419	1.98984	2.10978	1.87062	0.730208	1.66635	0	2.08309	0.442844	0.899151	1.23053	2.10978	0.93294	2.05651
RadishC_t008	0.673893	0	0	1.25451	1.23852	1.53156	1.42887	1.18617	0.51986	1.89927	1.71983	0.952194	2.28001	0.673893	2.34219	0	1.78372	0	0.596877	1.74529	1.69495	1.93928	1.81704	1.02122	1.73774	2.17067	2.13983	1.42887	0	0.442844	2.28001	1.22254	1.53156	1.21634	1.61242	1.76896
RadishC_t007	0	1.00197	0	0.673893	0	0.673893	0.971448	0	1.80399	0.673893	0	1.32807	1.43507	1.53156	0.963457	1.76896	1.16692	0.462098	1.32807	0.93294	1.16692	1.21634	1.05646	1.00996	2.28001	2.08309	2.10978	1.93636	0	1.92182	2.23462	1.89927	1.85194	2.23462	1.3925	1.93636
RadishC_t018	0	0.952194	0	0	0.673893	1.30327	0	1.07864	1.74529	0.752734	1.16692	1.00996	1.25451	0	1.28288	0.921677	1.04519	1.25451	0.887889	1.37391	0.730208	0.730208	0	0.0962704	1.36592	1.32807	1.66128	1.36592	0	1.3863	1.74529	2.10978	1.87062	0.93294	1.93928	1.42887
RadishC_r003	0	0.673893	0	0	0	0.673893	0.558369	0.673893	0.539114	0.730208	1.18617	0	0	0.93294	0.32732	0	0	0	0.673893	0	0	0	0	0.0962704	1.37391	1.85194	1.98984	1.71983	0	1.23053	1.38011	2.34219	1.98984	1.67141	1.68447	3.21874
RadishC_t014	0	0	0	0	0	0	0	0	0	0	0.673893	0	0	0.8541	0.940931	1.25451	1.54789	0.921677	1.20835	0	1.02921	0	1.00197	1.66635	0.921677	1.93928	1.67141	0.899151	0	2.03327	1.80399	1.78372	0.921677	1.23852	0.462098	1.25451
RadishC_t009	1.44633	0.673893	1.36592	0	0	0	0	0	1.50432	0.982711	1.0372	1.38011	0.940931	0.921677	0.250303	0	0.115525	0	1.23852	0	0.741471	0.462098	0.718945	0	1.44633	0.673893	0.730208	1.42887	0	1.30947	0.93294	0	1.30327	0.51986	1.32807	1.50938
RadishC_t016	0.539114	0	0	0	0	0.673893	0.596877	0.673893	0	0	0.654639	0.558369	0.940931	0	0.211795	1.36592	0.115525	0.462098	0	0	1.02921	0.730208	0.192541	1.02122	0.51986	0.842837	0.741471	1.2607	0	1.66128	1.08663	1.73774	1.47685	0.93294	1.30327	0.616131
C327_r01	1.50432	1.53663	0.673893	0	0	0	0	0	1.00996	0.481352	1.53663	0.952194	0.940931	1.60003	0.211795	1.32187	1.796	1.66128	0.831574	0.899151	0	0.730208	0	0	0	0.842837	0	0.921677	0	0	0	1.74529	0.539114	0	0	1.54789
RadishC_t010	0	0	0	0.673893	0.616131	0	1.32807	0	0	0	0	0	1.44633	0	0	0	0.462098	0.899151	0	0	0.134779	0.596877	0.707682	0.115525	1.63596	0.899151	1.49419	0.8541	0	1.28908	0.462098	0.51986	0.93294	0	0.51986	0.558369
RadishC_t002	0	0	0	0	0	0	0	0	0	0.558369	0	0	0.596877	0	0	0	0	0	0.696419	1.83653	0	0	0.730208	1.28288	0	0	0.442844	0.51986	0	1.21634	0	1.02122	1.38011	0.952194	1.33426	0
C327_t13	0	0.730208	0	0	0.654639	0	0.696419	0	0.616131	0	0	0	0	0.500606	0	0.462098	1.23852	0	1.78372	0	0.462098	0.462098	0	0	0	0.481352	0.730208	0	0	0	1.21634	1.00996	1.09462	1.33426	0	0.952194
RadishC_t020	0	0	0	0	0.940931	0.940931	0	1.00996	0.462098	0	0	0.500606	0	0	0.500606	0	0.481352	0	0.462098	0	0	0	0.32732	0	0.462098	0	0	0	0	0	1.23852	0.558369	1.41468	0.952194	0	0.910414
RadishC_t019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.763996	0	0.696419	0	0.673893	0	0	0	0	0.0385082	0.616131	0	1.25451	0	0	0.673893	0.842837	0	0.940931	0.752734	0	0.673893
TRNAP_UGG_27	0	0	0	0	0	0	0.940931	1.53156	0	0	0	0	0	0	0	0	0	0.673893	0	0.654639	0	0	0	0	0.730208	0	0	0	0	0.673893	0.952194	0	0	0.982711	0	0
C327_t08	0	0	0	0	0.707682	0.673893	0.673893	0	0	0	0	0	0	0	0	0	1.32187	0	0	0	0	0	0	0	0	0	0.673893	0	0	0.596877	0	0	0.462098	0	0	0
TRNAK_UUU_22	0	0.730208	0	0.730208	0	0	0	0	0.462098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.462098	0	0	0.730208	0	0	0	0.673893	0	0.539114	0	0.673893	0
C327_t09	0	0	1.76896	0	0	0	0	0	0	0	0	0	0.539114	0	0.93294	0	0	0	0	0	0.0770164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAP_UGG_22	0	0	0	0	0	0	0	0	0.673893	0.797785	0	0	0	0	0	0	0.51986	0.673893	0.673893	0.654639	0	0	0	0	0.921677	0	0	0	0	0	0	0	0	0	0	0
C327_t11	0	0	1.07864	0	0	0	0	0	0	0	0	0	0	0	0	1.02921	0.51986	0.93294	0	0.654639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C327_t05	0	0	0	0	0	0	0	0	0	0.673893	0	0	0	0	0	0	1.10588	0	0.93294	0	0.51986	0	0	0	0	0	0	0	0.51986	0	0	0	0	0	0	0
TRNAP_UGG_18	0	0	0.0770164	0	0	0	0	0	0.0770164	0	0	0.0770164	0.0577623	0.0385082	0	0	0	0	0	0	0.0770164	0	0.211795	0	0	0.442844	0.654639	0	1.02921	0.0192541	0.0577623	0.462098	0	0	0	0.462098
C327_t12	0	0	0.0770164	0	0.910414	0	0	0	0.0770164	0	0	0.0770164	0.0385082	0.0385082	0	0	0	0	0	0	0	0	0	0	0	0.442844	0.0192541	0.93294	1.02921	0	0.0770164	0	0	0	0	0.462098
RadishC_t013	0	0	0.730208	0	0	0	0	0	0	0	0	0.673893	0	0	0	0	0	0	0	0.577623	0	0	0.462098	0	0	0.741471	0	0	0	0	0	0	0	0	0	0
RadishC_t026	0	0	0	0	0	0	0	0	0.673893	0.696419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.673893	0.673893	0	0	0	0.673893	0
