id	GeneSymbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000003137.7	CYP26B1	171.5996604	1.278619875	0.972757659	1.314427969	0.188702223	0.448408793
ENSG00000003147.16	ICA1	74.78926642	1.303181684	1.055608032	1.2345318	0.217004805	0.481186694
ENSG00000003249.12	DBNDD1	177.210129	0.521424103	0.876944179	0.594592124	0.552116146	0.774813493
ENSG00000003393.13	ALS2	468.0549968	-0.590722897	0.315447161	-1.872652445	0.061116394	0.236867362
ENSG00000003400.13	CASP10	28.33189642	0.366983151	1.014266737	0.361821144	0.717485691	0.87113307
ENSG00000003402.18	CFLAR	756.4866479	0.485666974	0.307319452	1.580332685	0.114030699	0.338547456
ENSG00000003436.13	TFPI	596.583811	-0.616545931	0.905457527	-0.68092198	0.49592086	0.736395691
ENSG00000003509.14	NDUFAF7	130.9178837	0.162682245	0.309448051	0.525717465	0.599084527	0.804081958
ENSG00000003756.15	RBM5	1178.629957	-0.155299205	0.280036531	-0.554567666	0.579190411	0.791232345
ENSG00000003987.12	MTMR7	12.02834606	-0.475129555	0.871173151	-0.545390494	0.585484977	0.795265235
ENSG00000003989.15	SLC7A2	520.7379634	1.889277709	1.509557044	1.251544429	NA	NA
ENSG00000004059.9	ARF5	1894.914028	0.910947646	0.376372868	2.420332929	0.015506303	0.10015841
ENSG00000004139.12	SARM1	361.2815041	-4.225850566	0.793714179	-5.3241465	1.01E-07	5.09E-06
ENSG00000004142.10	POLDIP2	2467.854285	0.605829492	0.331934974	1.825145103	0.067979135	0.25211866
ENSG00000004399.11	PLXND1	568.2498418	-2.252131136	0.789278642	-2.853404381	0.004325354	0.041370336
ENSG00000004455.15	AK2	2408.749941	-0.196441587	0.326577042	-0.60151683	0.547495806	0.772084722
ENSG00000004468.11	CD38	0.750126045	-2.647043554	2.134039265	-1.240391213	0.214830729	NA
ENSG00000004478.7	FKBP4	3141.136935	0.513101848	0.460736734	1.113655175	0.265427147	0.535179249
ENSG00000004487.14	KDM1A	1775.980551	0.025064259	0.386908579	0.064780831	0.948348504	0.97908624
ENSG00000004534.13	RBM6	611.2188378	-0.404995732	0.393202754	-1.029992105	0.303013712	0.574520071
ENSG00000004660.13	CAMKK1	140.8429837	0.923873946	0.590382808	1.564872712	0.117612758	0.345326223
ENSG00000004700.14	RECQL	767.3540157	-0.573208806	0.606181717	-0.945605566	0.344349804	0.614970586
ENSG00000004766.14	VPS50	182.3834983	-0.496231262	0.662322617	-0.749228925	0.453719238	0.706245948
ENSG00000004776.10	HSPB6	16.4606209	-4.884485597	1.285516465	-3.799628968	NA	NA
ENSG00000004777.17	ARHGAP33	285.8796277	-1.264336061	0.44864729	-2.818106983	0.004830771	0.044855017
ENSG00000004779.8	NDUFAB1	820.4157912	0.331167245	0.277899382	1.191680395	0.233386588	0.500477507
ENSG00000004799.7	PDK4	101.407984	6.113608884	1.270474225	4.812068412	1.49E-06	5.59E-05
ENSG00000004809.12	SLC22A16	0.192891777	-0.833772396	3.140061923	-0.265527374	0.790603225	NA
ENSG00000004838.12	ZMYND10	31.17726134	-2.544952938	0.821195376	-3.099083378	0.001941204	0.023417036
ENSG00000004846.15	ABCB5	2.138848033	-1.418055938	1.370713716	-1.034538374	0.300884547	0.572246238
ENSG00000004848.6	ARX	0.506261315	3.008779308	3.084976013	0.975300714	0.329411116	NA
ENSG00000004864.12	SLC25A13	623.8529239	0.097802324	0.536230115	0.18238872	0.855277678	0.939921566
ENSG00000004866.17	ST7	291.4889223	-0.304999157	0.521198895	-0.585187651	0.558421548	0.778570891
ENSG00000004897.10	CDC27	895.1545788	-0.74294312	0.560894236	-1.324569006	0.185314142	0.4444049
ENSG00000004939.12	SLC4A1	2.130730481	-1.495009896	1.153747642	-1.295785873	0.195049267	0.456042106
ENSG00000004948.12	CALCR	0.074127511	0.106508563	3.149695035	0.033815516	0.973024263	NA
ENSG00000004961.13	HCCS	421.5792394	-0.02029542	0.422267546	-0.04806294	0.961666081	0.984158692
ENSG00000004975.10	DVL2	1040.692521	-0.776136287	0.524633935	-1.479386359	0.139037084	0.381474637
ENSG00000005001.8	PRSS22	30.63542398	4.936848879	1.598099849	3.089199266	0.002006968	0.024033531
ENSG00000005007.11	UPF1	2928.400618	0.224852775	0.447398471	0.502578327	0.61526077	0.8146866
ENSG00000005020.11	SKAP2	288.437712	0.332452772	0.456176788	0.728780555	0.466135908	0.713682777
ENSG00000005022.5	SLC25A5	8191.448621	-0.140729363	0.350603978	-0.401391232	0.688132103	0.855436857
ENSG00000005059.14	MCUB	173.1213888	-0.071896219	0.682573226	-0.105331144	0.916113051	0.965888189
ENSG00000005073.5	HOXA11	28.03278562	1.107057221	1.222029134	0.905917207	0.364979676	0.6330489
ENSG00000005075.14	POLR2J	866.2348475	0.786523396	0.459768813	1.71069323	0.087137758	0.291223949
ENSG00000005100.11	DHX33	1084.371036	-0.191564373	0.413375702	-0.463414692	0.64306715	0.831382351
ENSG00000005102.11	MEOX1	0.934876779	-2.943581492	2.628750356	-1.119764562	0.262814104	NA
ENSG00000005108.14	THSD7A	12.55211307	-5.03905466	1.670162726	-3.017104011	0.002552022	0.028840344
ENSG00000005156.10	LIG3	533.147189	0.05197917	0.408119488	0.127362628	0.898653394	0.958372027
ENSG00000005175.8	RPAP3	230.6103338	-0.776284133	0.619373679	-1.253337298	0.21008298	0.472024832
ENSG00000005187.10	ACSM3	7.61592275	1.306224634	1.316213126	0.99241119	0.320996983	0.591460539
ENSG00000005189.18	REXO5	209.3029168	-2.466266228	0.710086326	-3.473192115	0.000514307	0.00834212
ENSG00000005194.13	CIAPIN1	939.9013995	0.117389336	0.305247264	0.384571295	0.700555065	0.862110389
ENSG00000005206.15	SPPL2B	893.2975331	-0.032762133	0.526095428	-0.062274125	0.950344534	0.979760982
ENSG00000005238.18	FAM214B	575.00324	1.460427317	0.64211099	2.274415699	0.022941004	0.129367802
ENSG00000005243.8	COPZ2	61.96080836	-0.342462528	1.484831605	-0.230640651	0.817593984	0.923218643
ENSG00000005249.11	PRKAR2B	28.2659702	-4.51779433	0.772351201	-5.849404167	4.93E-09	3.39E-07
ENSG00000005302.16	MSL3	299.5939129	0.033510971	0.358745373	0.093411578	0.925576593	0.969427454
ENSG00000005339.11	CREBBP	1769.726561	-1.109869358	0.442965424	-2.505543998	0.012226319	0.085887414
ENSG00000005379.14	TSPOAP1	3.655198319	-0.140119555	1.345121725	-0.10416868	0.917035488	0.966108968
ENSG00000005381.7	MPO	0.566340301	2.505926959	3.085670673	0.812117437	0.416724249	NA
ENSG00000005421.7	PON1	0.140836325	-0.377220722	3.14943951	-0.119773922	0.90466224	NA
ENSG00000005436.12	GCFC2	157.9436162	-0.41968405	0.480323854	-0.873752252	0.382253188	0.649187007
ENSG00000005448.15	WDR54	471.4886631	0.553266121	0.623508281	0.887343662	0.374893905	0.641060106
ENSG00000005469.10	CROT	214.2734861	1.196673182	0.588971591	2.031801195	0.042173786	0.190226787
ENSG00000005471.14	ABCB4	0.751090605	-0.954091958	2.30183083	-0.414492649	0.678513349	NA
ENSG00000005483.18	KMT2E	920.0212241	-0.918432061	0.535724569	-1.714373604	0.086460133	0.289796102
ENSG00000005486.15	RHBDD2	889.6593229	0.362678213	0.35975531	1.008124696	0.313394603	0.584466903
ENSG00000005513.9	SOX8	0.947909729	-2.965315461	3.064988689	-0.967480067	0.333304101	NA
ENSG00000005700.13	IBTK	461.3121761	-0.759573881	0.586579646	-1.294920283	0.195347731	0.456414511
ENSG00000005801.15	ZNF195	145.7324957	0.530415804	0.415343174	1.277054345	0.201583062	0.463295051
ENSG00000005810.16	MYCBP2	647.3160362	0.099608421	0.441755742	0.225483024	0.82160353	0.924721095
ENSG00000005812.9	FBXL3	287.5037241	0.273997825	0.535825363	0.51135658	0.609101393	0.809789168
ENSG00000005844.16	ITGAL	1.226516165	-0.173080558	2.231465122	-0.07756364	0.938175166	NA
ENSG00000005882.10	PDK2	304.0416578	0.464109573	0.734122832	0.632196076	0.527258761	0.758763614
ENSG00000005884.16	ITGA3	12407.38562	1.569444192	0.48507047	3.235497294	0.00121431	0.016375296
ENSG00000005889.14	ZFX	449.4656369	-0.172842139	0.482473446	-0.358241766	0.720162394	0.872417426
ENSG00000005893.14	LAMP2	1931.928607	-0.448879926	0.579306059	-0.774857986	0.438423581	0.695587771
ENSG00000005961.16	ITGA2B	10.39070658	-0.463379724	0.906076234	-0.511413617	0.609061462	0.809789168
ENSG00000005981.11	ASB4	0.45573205	-0.960672865	2.061329976	-0.466045163	0.641183174	NA
ENSG00000006007.10	GDE1	1088.012405	0.009346409	0.522510197	0.017887515	0.985728589	0.994277594
ENSG00000006015.16	C19orf60	450.8773198	0.148623183	0.579747944	0.256358276	0.797674202	0.913783984
ENSG00000006016.9	CRLF1	61.21373665	0.543537685	0.523709896	1.037860253	0.299335121	0.570827973
ENSG00000006025.10	OSBPL7	186.1765765	0.845658047	0.655849925	1.289407858	0.197256331	0.458433833
ENSG00000006042.10	TMEM98	179.9025748	3.91853856	1.127669433	3.474900041	0.000511044	0.008299583
ENSG00000006047.11	YBX2	85.17091923	-4.611851465	1.60265765	-2.877627336	0.004006782	0.03916216
ENSG00000006059.3	KRT33A	0.067968939	1.164452224	3.149695035	0.369703165	0.711603673	NA
ENSG00000006062.12	MAP3K14	605.344495	-0.814062331	0.58880995	-1.382555324	0.166801256	0.420110478
ENSG00000006071.10	ABCC8	9.004428872	0.32390704	1.800703189	0.179878084	NA	NA
ENSG00000006116.3	CACNG3	0	0	NA	NA	NA	NA
ENSG00000006118.13	TMEM132A	1552.512329	1.552540753	0.727661865	2.13360192	0.032875381	0.162763743
ENSG00000006125.15	AP2B1	5384.698181	-0.010088272	0.446098087	-0.02261447	0.981957801	0.992429466
ENSG00000006128.10	TAC1	0.148255022	-0.377220722	3.14943951	-0.119773922	0.90466224	NA
ENSG00000006194.9	ZNF263	468.025879	-0.356987688	0.355512882	-1.004148391	0.315307094	0.58591491
ENSG00000006210.6	CX3CL1	109.6817629	-6.78856204	2.920857229	-2.324167704	0.020116508	0.119573576
ENSG00000006282.18	SPATA20	1191.136295	-0.61939378	0.451941895	-1.370516403	0.170525759	0.424178294
ENSG00000006283.16	CACNA1G	20.05675816	-3.72786963	1.279656308	-2.913180364	0.003577679	0.036490841
ENSG00000006327.12	TNFRSF12A	2267.439851	-0.385769316	0.611183426	-0.631184191	0.527920098	0.758993637
ENSG00000006377.10	DLX6	31.12179779	-3.461478359	1.765036701	-1.961136762	0.049863071	0.20944832
ENSG00000006432.14	MAP3K9	464.1148022	1.825324284	0.44615351	4.091247164	4.29E-05	0.001057863
ENSG00000006451.6	RALA	605.4319772	0.492530374	0.384343805	1.281483837	0.200023774	0.461744099
ENSG00000006453.12	BAIAP2L1	826.9490923	1.26525242	0.533630596	2.371026754	0.017738747	0.110063023
ENSG00000006459.9	KDM7A	68.27409496	0.056915125	0.720123103	0.079035271	0.937004568	0.973862939
ENSG00000006468.12	ETV1	136.4951641	-2.084123088	0.967357164	-2.154450462	0.031204863	0.157522531
ENSG00000006530.14	AGK	535.6382944	0.010886598	0.322571142	0.033749449	0.973076947	0.989225151
ENSG00000006534.14	ALDH3B1	889.200043	1.337004094	0.63300217	2.112163523	0.034672426	0.168231808
ENSG00000006555.9	TTC22	77.92394795	6.579028363	0.847093263	7.766592713	8.06E-15	1.65E-12
ENSG00000006576.15	PHTF2	471.6227325	-1.431061164	0.633230435	-2.259937432	0.023825134	0.132455359
ENSG00000006606.7	CCL26	1.430848602	-1.408942463	1.881462436	-0.748854952	0.453944634	NA
ENSG00000006607.12	FARP2	715.3509617	0.060871879	0.318543534	0.191094381	0.84845165	0.936849855
ENSG00000006611.14	USH1C	0.515183227	-2.08274672	3.087758718	-0.674517315	0.499982481	NA
ENSG00000006625.16	GGCT	596.3495732	0.412139252	0.377599856	1.091470893	0.275065733	0.545599738
ENSG00000006634.6	DBF4	337.7889085	-1.093796429	0.621174845	-1.760851133	0.078263603	0.273846058
ENSG00000006638.10	TBXA2R	41.68674209	-3.257961645	0.756429645	-4.307025333	1.65E-05	0.000469095
ENSG00000006652.12	IFRD1	660.4958834	-0.683141936	0.36429021	-1.875268447	0.060755802	0.236190328
ENSG00000006659.11	LGALS14	0	0	NA	NA	NA	NA
ENSG00000006695.9	COX10	390.2955648	0.57542558	0.455875714	1.262242236	0.206861635	0.469002382
ENSG00000006704.9	GTF2IRD1	770.5621309	0.30200228	0.562819701	0.536587968	0.591552257	0.799341455
ENSG00000006712.13	PAF1	1130.507003	-0.418354111	0.343451713	-1.218087127	0.223190865	0.489139714
ENSG00000006715.14	VPS41	456.6838549	-0.06907811	0.333584616	-0.207078225	0.835948768	0.931805111
ENSG00000006740.15	ARHGAP44	43.15597215	-3.929392982	1.235807665	-3.179615318	0.001474707	0.018902186
ENSG00000006744.17	ELAC2	2469.564337	0.2481545	0.529516359	0.468643688	0.639324344	0.829231128
ENSG00000006747.13	SCIN	13.78406863	-1.385427123	0.979171188	-1.414897763	0.157098474	0.407664531
ENSG00000006756.14	ARSD	158.9611106	0.901623036	1.357078827	0.664385162	0.506443827	0.743850877
ENSG00000006757.10	PNPLA4	256.1771523	2.284855318	0.779593118	2.930830538	0.003380571	0.035136155
ENSG00000006788.11	MYH13	1.762702728	-3.8549203	3.032094723	-1.27137199	NA	NA
ENSG00000006831.9	ADIPOR2	1228.718087	0.36958456	0.394023789	0.937975245	0.348257132	0.619806339
ENSG00000006837.10	CDKL3	4.449937217	-0.251001463	0.826048295	-0.303858097	0.761236003	0.894857258
ENSG00000007001.11	UPP2	0.122473615	-0.372242844	3.149502265	-0.118191007	0.905916315	NA
ENSG00000007038.9	PRSS21	157.6291716	0.096417287	2.898261764	0.03326728	0.973461446	0.989402518
ENSG00000007047.13	MARK4	547.1322928	0.068241431	0.402517515	0.169536551	0.865374625	0.944328661
ENSG00000007062.10	PROM1	1.603222885	-0.534871488	1.72640119	-0.309818767	0.75669878	NA
ENSG00000007080.9	CCDC124	1477.026861	-0.132443038	0.590720365	-0.224205979	0.822597031	0.925098405
ENSG00000007129.16	CEACAM21	0.070418162	0.106508563	3.149695035	0.033815516	0.973024263	NA
ENSG00000007168.11	PAFAH1B1	1935.241643	-0.456982844	0.441804215	-1.034356009	0.300969762	0.572246238
ENSG00000007171.15	NOS2	7.945716214	-6.028534247	2.253697918	-2.67495222	0.00747399	0.061353615
ENSG00000007174.16	DNAH9	5.319406435	2.77042334	1.504985859	1.840830146	0.065646454	0.246817117
ENSG00000007202.13	KIAA0100	4346.609021	-0.046196118	0.449644024	-0.102739313	0.918169871	0.966514082
ENSG00000007216.13	SLC13A2	2.829390585	4.359668794	2.438747443	1.787667192	NA	NA
ENSG00000007237.17	GAS7	1.678551816	-2.247398137	1.892971209	-1.187233132	0.235135676	NA
ENSG00000007255.9	TRAPPC6A	113.9748393	0.125604007	0.692994431	0.181248219	0.856172748	0.940155348
ENSG00000007264.12	MATK	9.89130755	-2.881130255	1.917722383	-1.502370875	0.133001354	0.371778405
ENSG00000007306.13	CEACAM7	0.788130023	0.390302472	2.806012238	0.139095071	0.889375023	NA
ENSG00000007312.11	CD79B	0.232902555	0.204822071	3.149502179	0.065033158	0.9481476	NA
ENSG00000007314.10	SCN4A	0.899425154	-2.850065984	1.779715418	-1.601416696	0.109284657	NA
ENSG00000007341.17	ST7L	154.2456434	-0.677684198	0.374159012	-1.811219769	0.070106839	0.256359591
ENSG00000007350.15	TKTL1	0.218673184	-0.950576861	3.135329694	-0.303182425	0.761750842	NA
ENSG00000007372.19	PAX6	94.83565575	-4.688633813	0.958999264	-4.889090107	1.01E-06	3.99E-05
ENSG00000007376.6	RPUSD1	961.6091342	1.092624849	0.456847986	2.391659549	0.016772392	0.105700454
ENSG00000007384.14	RHBDF1	655.4056661	0.820144825	0.551761455	1.48641196	0.137170188	0.378675944
ENSG00000007392.15	LUC7L	405.019792	-0.053199605	0.362460298	-0.146773606	0.883310718	0.95144741
ENSG00000007402.10	CACNA2D2	6.734036284	-0.52878514	1.017915579	-0.519478384	0.603427183	0.806381416
ENSG00000007516.12	BAIAP3	19.26922644	-0.807861203	1.011606178	-0.798592595	0.424526683	0.683421451
ENSG00000007520.3	TSR3	750.5153039	0.272933619	0.501681172	0.544037996	0.586415327	0.795855691
ENSG00000007541.13	PIGQ	706.1797803	0.092584852	0.49181382	0.188251831	0.850679243	0.937548404
ENSG00000007545.14	CRAMP1	606.8219862	-0.385000608	0.399993072	-0.962518192	0.33578937	0.606059613
ENSG00000007866.17	TEAD3	484.2612061	0.771561814	0.470960889	1.638271523	0.101365065	0.317370729
ENSG00000007908.14	SELE	0.308978978	-1.376986236	3.115113479	-0.442034053	0.658464564	NA
ENSG00000007923.14	DNAJC11	1545.413431	0.080018694	0.420290999	0.190388787	0.849004484	0.936869368
ENSG00000007933.11	FMO3	4.493949349	-5.205518681	2.331096622	-2.233077184	0.025543855	0.138349543
ENSG00000007944.13	MYLIP	64.15801004	-0.839643405	1.078875143	-0.77825818	0.436416824	0.694282904
ENSG00000007952.16	NOX1	0.705563776	-0.956255648	1.997268837	-0.478781639	0.63209398	NA
ENSG00000007968.6	E2F2	298.4325198	-0.631694766	0.495652954	-1.274469889	0.202496937	0.46437645
ENSG00000008018.8	PSMB1	1735.046743	0.169082315	0.286571109	0.590018707	0.555178108	0.776914002
ENSG00000008056.11	SYN1	13.11259247	0.136201229	1.33345137	0.102141879	0.91864406	0.966748068
ENSG00000008083.12	JARID2	652.4115074	0.223245401	0.497460397	0.448770198	0.653597439	0.837065818
ENSG00000008086.9	CDKL5	107.158024	-0.530134767	0.734692116	-0.721574051	0.470556398	0.717522834
ENSG00000008118.8	CAMK1G	1.518746235	-0.117161725	1.897595659	-0.061742197	0.950768136	NA
ENSG00000008128.21	CDK11A	430.7323051	-0.328744168	0.476958923	-0.689250483	0.490665653	0.73235037
ENSG00000008130.14	NADK	1402.982141	0.073871807	0.494355394	0.149430568	0.881213893	0.95079602
ENSG00000008196.11	TFAP2B	0.842637721	0.477091347	2.284245571	0.208861671	0.834556226	NA
ENSG00000008197.4	TFAP2D	2.149697812	-4.140814624	3.049773544	-1.357744949	NA	NA
ENSG00000008226.18	DLEC1	3.404577545	-1.405944225	1.16349902	-1.208375943	0.226902689	0.493184977
ENSG00000008256.14	CYTH3	871.6885742	-0.263306537	0.519610973	-0.50673783	0.612338783	0.812281928
ENSG00000008277.13	ADAM22	26.53045872	-2.475622043	0.726528697	-3.407466287	0.00065569	0.010118198
ENSG00000008282.6	SYPL1	1189.549621	0.482716244	0.547157898	0.882224759	0.377655275	0.64399641
ENSG00000008283.14	CYB561	825.1268662	0.852877648	0.508986495	1.675639052	0.093808915	0.302969533
ENSG00000008294.19	SPAG9	1626.987181	-1.033287576	0.340984046	-3.030310619	0.002443023	0.027930587
ENSG00000008300.13	CELSR3	684.0509692	-0.991375317	0.553952454	-1.789639726	0.073511848	0.26354694
ENSG00000008311.13	AASS	66.53126342	-1.0631358	1.178060266	-0.902446021	NA	NA
ENSG00000008323.14	PLEKHG6	17.12411451	3.806923706	0.854021522	4.457643758	8.29E-06	0.000259202
ENSG00000008324.9	SS18L2	156.2806118	-0.034986169	0.333496112	-0.104907277	0.916449385	0.965949631
ENSG00000008382.14	MPND	157.5100531	-0.469789798	0.501750282	-0.936302011	0.349117713	0.620708772
ENSG00000008394.11	MGST1	2003.724029	1.098672931	1.19802367	0.917071138	0.359105364	0.628328157
ENSG00000008405.10	CRY1	237.8898776	-1.122636438	0.484325199	-2.317939352	0.020452617	0.120806138
ENSG00000008438.4	PGLYRP1	0.630327741	-1.019759048	2.316512941	-0.440212973	0.659782865	NA
ENSG00000008441.15	NFIX	2570.175904	-1.533791161	0.637262187	-2.406844769	0.016091008	0.102689127
ENSG00000008513.13	ST3GAL1	1012.108644	0.520250084	0.888718369	0.585393643	0.558283062	0.778570891
ENSG00000008516.15	MMP25	22.55730361	1.357788944	0.708100657	1.917508381	0.055173377	0.222537146
ENSG00000008517.15	IL32	102.0491134	1.754059536	1.003585359	1.747793071	0.080499866	0.278060894
ENSG00000008710.16	PKD1	3101.132751	-1.730791777	0.748322543	-2.312895413	0.02072839	0.121849739
ENSG00000008735.13	MAPK8IP2	47.67341399	-1.08693845	0.84450697	-1.287068655	0.19807036	0.459393349
ENSG00000008838.16	MED24	1861.806285	0.768592805	0.363090485	2.116807893	0.034276155	0.167174852
ENSG00000008853.15	RHOBTB2	832.7834537	1.0566319	0.528082402	2.000884511	0.045404837	0.197948188
ENSG00000008869.10	HEATR5B	332.2495177	0.460039367	0.356710587	1.289671189	0.197164847	0.458373906
ENSG00000008952.15	SEC62	972.2826324	-0.733463037	0.615078772	-1.192470089	0.233076972	0.500240805
ENSG00000008988.8	RPS20	8652.591253	0.609507474	0.403279059	1.511378933	0.130691934	0.368812937
ENSG00000009307.14	CSDE1	7656.795904	-0.885469753	0.574963413	-1.540045388	0.12354929	0.356662405
ENSG00000009335.16	UBE3C	2849.951646	-0.0822019	0.360266892	-0.228169455	0.819514507	0.924208365
ENSG00000009413.14	REV3L	313.1573109	-1.140484321	0.664855354	-1.715387135	0.086274272	0.289625828
ENSG00000009694.12	TENM1	32.73768711	-2.336050076	1.471099709	-1.587961755	0.112294988	0.335826703
ENSG00000009709.10	PAX7	17.6419067	-20.95486403	3.039071839	-6.89515258	NA	NA
ENSG00000009724.15	MASP2	22.95983557	-0.381696457	0.588860282	-0.648195282	0.516858653	0.751295702
ENSG00000009765.13	IYD	5.258649795	-1.870803093	1.167020766	-1.603058958	0.108921638	0.330374488
ENSG00000009780.14	FAM76A	98.70284681	-0.39262049	0.436576859	-0.899315851	0.368484447	0.635345849
ENSG00000009790.13	TRAF3IP3	17.44360827	3.161040429	1.196914493	2.64099102	0.008266391	0.065873327
ENSG00000009830.10	POMT2	544.0215281	-0.07025858	0.399065141	-0.176057924	0.860248436	0.941678514
ENSG00000009844.14	VTA1	615.3427163	-0.736675035	0.440486893	-1.672410797	0.094443344	0.304319162
ENSG00000009950.14	MLXIPL	31.39761166	1.126390675	0.799402004	1.409041597	0.158822869	0.409117562
ENSG00000009954.9	BAZ1B	2108.357635	-0.590271273	0.340921313	-1.731400328	0.083380388	0.284021665
ENSG00000010017.12	RANBP9	693.9133802	-1.170062674	0.449222201	-2.604641248	0.00919705	0.070861773
ENSG00000010030.12	ETV7	4.574915652	3.949597322	1.207099995	3.271971947	0.001068002	0.014797841
ENSG00000010072.14	SPRTN	266.8651754	0.334393768	0.459104578	0.728360779	0.466392765	0.713856124
ENSG00000010165.18	METTL13	1135.083721	0.182256611	0.366041155	0.497912894	0.618545439	0.816420003
ENSG00000010219.12	DYRK4	192.5356124	0.88549169	0.538257968	1.645106514	0.099947847	0.314171554
ENSG00000010244.15	ZNF207	2780.689134	0.25930327	0.320359674	0.809412953	0.418277654	0.678283429
ENSG00000010256.9	UQCRC1	4652.190174	0.912385982	0.285702969	3.193477423	0.001405703	0.018291807
ENSG00000010270.12	STARD3NL	393.9713406	-0.436353402	0.288093016	-1.514626794	0.129866943	0.367274989
ENSG00000010278.10	CD9	1895.523586	2.393100158	0.769109108	3.111522323	0.001861254	0.022619007
ENSG00000010282.13	HHATL	0.651977807	1.912854505	2.306171765	0.829450145	0.406849737	NA
ENSG00000010292.11	NCAPD2	4081.966148	-0.41560996	0.553485005	-0.750896513	0.452714939	0.705685821
ENSG00000010295.18	IFFO1	76.78196514	-4.953642247	1.193786651	-4.149520555	3.33E-05	0.000856884
ENSG00000010310.7	GIPR	31.03674398	-1.604108641	1.159160333	-1.38385398	NA	NA
ENSG00000010318.18	PHF7	131.2761853	-1.212867223	0.600962188	-2.018208877	0.043569512	0.193855755
ENSG00000010319.5	SEMA3G	8.24994655	-2.518897698	1.555544816	-1.619302557	0.105382181	0.324576457
ENSG00000010322.14	NISCH	1262.449876	-0.073079655	0.456259241	-0.160171343	0.872746103	0.947587252
ENSG00000010327.9	STAB1	1.235222552	-1.624425495	1.8179965	-0.893525095	0.371576039	NA
